upuq  u-'puq
késeller  k@-seL-'Ler
kac  kadZ
gacgun  gadZ-'gun
vehime  ve-hI-'me
galvañ  gaL-'vaN
acizliq  a-dZIz-'LIq
uyqusizliq  uj-qu-sIz-'LIq
bixudluq  bI-xud-'Luq
tinim  tI-'nIm
tapmas  tap-'mas
almişiş  aL-mI-'SIS
saqiyip  sa-qI-'jIp
heptidin  hep-tI-'dIn
tél  t@L
avévtiki  a-v@v-tI-'kI
mihmansarayda  mIh-man-sa-raj-'da
saqliğuçi  saq-LI-Gu-'tSI
vasitiliriniñ  va-sI-tI-LI-rI-'nIN
ayrişi  aj-rI-'SI
léyboristlar  L@jborIstLar
méléz  m@-'L@z
biterep  bI-te-'rep
özgertiş  @'z-ger-'tIS
igilidi  I-gI-LI-'dI
péd  p@d
pafrok  paf-'rok
romiye  ro-mI-'je
térçanu  t@r-tSa-'nu
kinezlik  kI-nez-'LIk
münbiriniñ  myn-bI-rI-'nIN
şivabuniñ  SI-va-bu-'nIN
teklipige  tek-LI-pI-'ge
govuyüeniñ  go-vu-jy-e-'nIN
zéñ  z@N
piyyen  pIj-'jen
yuqarqi  ju-qar-'qI
dölette  d@'-Let-'te
munbiriniñ  mun-bI-rI-'nIN
qatnişiş  qat-nI-'SIS
maddiy  mad-'dIj
şaraiti  Sa-ra-I-'tI
menivi  me-nI-'vI
kamaletke  ka-ma-Let-'ke
yetküzüşke  jet-ky-zyS-'ke
intilişi  In-tI-LI-'SI
özgertişke  @'z-ger-tIS-'ke
yaxşilaşqa  jax-SI-LaS-'qa
haliğa  ha-LI-'Ga
yétişi  j@-tI-'SI
çüşinişi  tSy-SI-nI-'SI
toluqlaydiğan  to-Luq-Laj-dI-'Gan
inaqliq  I-naq-'LIq
cemiiyet  dZe-mI-I-'jet
ceñçiliri  dZeN-tSI-LI-'rI
özgertilgen  @'z-ger-tIL-'gen
aptobus  ap-to-'bus
maşiniliridin  ma-SI-nI-LI-rI-'dIn
şekillengen  Se-kIL-Len-'gen
léniyisini  L@-nI-jI-sI-'nI
ténçlandurğuçilar  t@ntSLandurGutSILar
maziriğa  ma-zI-rI-G-'a
kirdi  kIr-'dI
öhhö  @'h-'h@'
is  Is
tütek  ty-'tek
qisminiñ  qIs-mI-'nIN
ademliri  a-dem-LI-'rI
toxtimay  tox-tI-'maj
yötilişke  j@'-tI-LIS-'ke
qirosiman  qI-ro-sI-'man
paxtilişiş  pax-tI-LI-'SIS
kékañliñ  k@-kaN-'LIN
paraşokiniñ  pa-ra-So-kI-'nIN
mankozéb  man-ko-'z@b
paraşokini  pa-ra-So-kI-'nI
yégirme  j@-gIr-'me
ela  e-'La
nesillik  ne-sIL-'LIk
öçke  @'tS-'ke
tivit  tI-'vIt
süpet  sy-'pet
qobuqsar  qo-buq-'sar
nahiyisi  na-hI-jI-'sI
narin  na-'rIn
xobug  xo-'bug
meydanini  mej-da-nI-'nI
ölçimi  @'L-tSI-'mI
öçkisi  @'tS-kI-'sI
békitiş  b@-kI-'tIS
bazisi  ba-zI-'sI
mehsulati  meh-su-La-'tI
nesil  ne-'sIL
séstéma  s@s-t@-'ma
békitti  b@-kIt-'tI
işlarda  IS-Lar-'da
biznñ  bIznN
mes'uliytimiz  mes-'u-LIj-tI-'mIz
hökümetnñ  h@'kymetnN
mes'uliyti  mes-'u-LIj-'tI
bulupmu  bu-Lup-'mu
cenubi  dZe-nu-'bI
yézilirda  j@-zI-LIr-'da
ayallarnñ  ajaLLarnN
köyneklirni  k@'j-nek-LIr-'nI
mecburi  medZ-bu-'rI
tartivalidiğan  tar-tI-va-LI-dI-'Gan
cerimane  dZe-rI-ma-'ne
qanusiz  qa-nu-'sIz
solap  so-'Lap
bergili  ber-gI-'LI
uburcikidinmu  u-bur-dZI-kI-dIn-'mu
tapalmaslqiñiz  ta-paL-masL-qI-'NIz
guañen  gu-a-'Nen
meşxulat  meS-xu-'Lat
séstimisi  s@s-tI-mI-'sI
ditallarmu  dI-taL-Lar-'mu
qaçilinip  qa-tSI-LI-'nIp
kompyutér  komp-ju-'t@r
éçépla  @-tS@p-'La
işletkili  IS-Let-kI-'LI
bulidiğan  bu-LI-dI-'Gan
quyulğan  qu-juL-'Gan
qébtiy  q@b-'tIj
qébtiylarğa  q@b-tIj-Lar-'Ga
yizilğan  jI-zIL-'Gan
yiziqi  jI-zI-'qI
neqiş  ne-'qIS
çüşürüşlerge  tSy-Sy-ryS-Ler-'ge
tilşunas  tIL-Su-'nas
aspirantlarnimu  aspIrantLarnImu
yétiştüreleydiğan  j@-tIS-ty-re-Lej-dI--jd-'IGan
téyipçan  t@-jIp-'tSan
éliyuf  @-LI-'juf
tercimanlar  ter-dZI-man-'Lar
tyen'enmin  tjen-'en-'mIn
şéirliri  S@-Ir-LI-'rI
transkrépsiyesige  transkr@psIjesIge
tehrirlikige  teh-rIr-LI-kI--Ig-'e
hélitinla  h@-LI-tIn-'La
öpkeñ  @'p-'keN
gij  gIZ
qaldiñmu  qaL-dIN-'mu
şyentuñniñ  Sjen-tuN-'nIN
udun  u-'dun
yiçavniñ  jI-tSav-'nIN
ciyenige  dZI-je-nI-'ge
mektubida  mek-tu-bI-'da
peğpuri  peG-pu-'rI
zamanlarda  za-man-Lar-'da
stalijko  sta-LIZ-'ko
cohraydin  dZoh-raj-'dIn
muştlişişni  muSt-LI-SIS-'nI
ögengen  @'-gen-'gen
çéğidimu  tS@-GI-dI-'mu
zerbige  zer-bI-'ge
berdaşliq  ber-daS-'LIq
bergenidi  ber-ge-nI-'dI
muşt  muSt
zerbisidin  zer-bI-sI-'dIn
yiqilip  jI-qI-'LIp
çüşetti  tSy-Set-'tI
çaçrap  tSatS-'rap
neziride  ne-zI-rI-'de
yilliqtiki  jIL-LIq-tI-'kI
tüzük  ty-'zyk
tonumaydiken  to-nu-maj-dI-'ken
emelnimu  e-meL-nI-'mu
hésablaydiken  h@-sab-Laj-dI-'ken
künboyi  kyn-bo-'jI
keşp  keSp
oylaydu  oj-Laj-'du
dalyende  daL-jen-'de
dooglas  do-og-'Las
teveliki  te-ve-LI-'kI
xabarovski  xa-bar-ovs-'kI
şehirige  Se-hI-rI-'ge
çita  tSI-'ta
sibériye  sI-b@-rI-'je
sivildroviski  sIv-ILd-ro-vIs-'kI
moskvağa  mosk-va-'Ga
çañşya  tSaNS-'ja
mehkimisiçén  meh-kI-mI-sI-'tS@n
féñniñ  f@N-'nIN
qilğanliqiğa  qIL-Gan-LI-qI-'Ga
delil  de-'LIL
ispat  Is-'pat
gunahsizliqini  gu-nah-sIz-LI-qI-'nI
cavabkarliqini  dZa-vab-kar-LI-qI-'nI
almaydiğanliqidek  aL-maj-dI-Gan-LI-qI-'dek
hökümi  h@'-ky-'mI
mişka  mIS-'ka
livgçukof  LIvg-tSu-'kof
kékirdek  k@-kIr-'dek
siqişip  sI-qI-'SIp
qélividi  q@-LI-vI-'dI
cazalap  dZa-za-'Lap
tamaqqa  ta-maq-'qa
barğili  bar-GI-'LI
qoymay  qoj-'maj
sinipta  sI-nIp-'ta
şoxluq  Sox-'Luq
qilmisun  qIL-mI-'sun
sinipqa  sI-nIp-'qa
arqidiki  ar-qI-dI-'kI
orunduqqa  o-run-duq-'qa
olturğuzup  oL-tur-Gu-'zup
tavlaş  tav-'LaS
sulfur  suL-'fur
dioksidliq  dI-ok-sId-'LIq
islaş  Is-'LaS
os  os
canliqlarniñ  dZan-LIq-Lar-'nIN
canlinişini  dZan-LI-nI-SI-'nI
tizginligili  tIz-gIn-LI-gI-'LI
ademgila  a-dem-gI-'La
qarivalmisñzmu  qa-rI-vaL-mIsN-'zmu
etrapiñizda  et-ra-pI-NIz-'da
kimge  kIm-'ge
gepqilğiñiz  gep-qIL-GI-'NIz
şuniñğa  Su-nIN-'Ga
qilalayiisz  qILaLajIIsz
oyniğiñiz  oj-nI-GI-'NIz
oyniyalayisz  oj-nI-ja-Laj-'Isz
qizlarniñ  qIz-Lar-'nIN
pervane  per-va-'ne
oğullar  o-GuL-'Lar
dabav  da-'bav
permani  per-ma-'nI
tüzüşke  ty-zyS-'ke
sulalisiğa  su-La-LI-sI-'Ga
oquşqa  o-quS-'qa
evetilgen  e-ve-tIL-'gen
yicibodi  jI-dZI-bo-'dI
tubuşiñnenlar  tu-bu-SIN-nen-'Lar
quruqluqtin  qu-ruq-Luq-'tIn
barğanlarniñ  bar-Gan-Lar-'nIN
evladliridin  ev-Lad-LI-rI-'dIn
duen  du-'en
dacav  da-'dZav
kişilermu  kI-SI-Ler-'mu
caylar  dZaj-'Lar
emdiliktin  em-dI-LIk-'tIn
başbuğiliqni  baS-bu-GI-LIq-'nI
ötisimu  @'-tI-sI-'mu
yerken  jer-'ken
qeşqerni  qeS-qer-'nI
tincitsaq  tIn-dZIt-'saq
musulmanlarni  mu-suL-man-Lar-'nI
emin  e-'mIn
tapquzuşta  tap-qu-zuS-'ta
başbuğliqqa  baS-buG-LIq-'qa
teyinleş  te-jIn-'LeS
hacet  ha-'dZet
veqelerdin  ve-qe-Ler-'dIn
mafüyüen  ma-fy-jy-'en
pay  paj
oqta  oq-'ta
ölmey  @'L-'mej
reqibidin  re-qI-bI-'dIn
öç  @'tS
urunuvatqan  u-ru-nu-vat-'qan
yaridar  ja-rI-'dar
qavandek  qa-van-'dek
teltöküs  teL-t@'-'kys
yoqatmiğuçe  jo-qat-mI-Gu-'tSe
korlidin  kor-LI-'dIn
çiqmasliqqa  tSIq-mas-LIq-'qa
qesem  qe-'sem
içti  ItS-'tI
glukoziğa  gLu-ko-zI-'Ga
bénzoat  b@n-zo-'at
rotropin  rot-ro-'pIn
koféin  ko-f@-'In
vinadin  vI-na-'dIn
ursa  ur-'sa
sañimu  sa-NI-'mu
tayaqniñ  ta-jaq-'nIN
tétitip  t@-tI-'tIp
içkiri  ItS-kI-'rI
laxşigirni  Lax-SI-gIr-'nI
çiq  tSIq
qember  qem-'ber
qéçiş  q@-'tSIS
tüvige  ty-vI-'ge
kirivatqan  kI-rI-vat-'qan
doquruşup  do-qu-ru-'Sup
xanaçam  xa-na-'tSam
laos  La-'os
démokratik  d@-mok-ra-'tIk
çommal  tSom-'maL
sayginniñ  saj-gIn-'nIN
vintiyenge  vIn-tI-jen-'ge
laostiki  La-os-tI-'kI
turulbegke  tu-ruL-beg-'ke
medetkar  me-det-'kar
buxarağa  bu-xa-ra-'Ga
buxaraniñ  bu-xa-ra-'nIN
ğij  GIZ
abduxaliq  ab-du-xa-'LIq
medrisini  med-rI-sI-'nI
hemedani  he-me-da-'nI
déyişken  d@-jIS-'ken
pyfiotér  pjfI-o-'t@r
şüy  Syj
şa  Sa
luşün  Lu-'Syn
korréktorluq  kor-r@k-tor-'Luq
tüzetkendiki  ty-zet-ken-dI-'kI
qarni  qar-'nI
ezgüçiler  ez-gy-tSI-'Ler
sinipini  sI-nI-pI-'nI
ékspilatatsiye  @ks-pI-La-tat-sI-'je
tüzümini  ty-zy-mI-'nI
qehr  qehr
zimistanğa  zI-mIs-tan-'Ga
oxşitip  ox-SI-'tIp
onmus  on-'mus
yeşin  je-'SIn
barğut  bar-'Gut
nagçur  nag-'tSur
qovmilirini  qov-mI-LI-rI-'nI
tyendé  tjen-'d@
qoruliğa  qo-ru-LI-'Ga
sétiq  s@-'tIq
keçürdi  ke-tSyr-'dI
bey'et  bej-''et
icazet  I-dZa-'zet
daçşuy  datS-'Suj
xendañ  xen-'daN
şixé  SI-'x@
boliñ  bo-'LIN
şyavşşen  SjavSSen
sañşyañ  saNSjaN
çinşuy  tSIn-'Suj
çañ  tSaN
elliri  eL-LI-'rI
örp  @'rp
aditi  a-dI-'tI
qopal  qo-'paL
déñci  d@N-'dZI
çañliriniñkige  tSaN-LI-rI-nIN-kI-'ge
oxşimaydu  ox-SI-maj-'du
ğar  Gar
ağzida  aG-zI-'da
toxtaptu  tox-tap-'tu
güllep  gyL-'Lep
havareñ  ha-va-'reN
yopyoruq  jop-jo-'ruq
qaraptu  qa-rap-'tu
qayğuğa  qaj-Gu-'Ga
çömüptu  tS@'-myp-'tu
qorquptu  qor-qup-'tu
çérkavlardin  tS@r-kav-Lar-'dIn
dasenba  da-sen-'ba
çérkavi  tS@r-ka-'vI
rohanilar  ro-ha-nI-'Lar
vañdi  vaN-'dI
fiñşun  fIN-'Sun
xvavañ  xva-'vaN
ordisidiki  or-dI-sI-dI-'kI
méhmandarçiliqta  m@h-man-dar-tSI-LIq-'ta
qanğuek  qan-Gu-'ek
oynisa  oj-nI-'sa
arisiğa  a-rI-sI-'Ga
tögidek  t@'-gI-'dek
parijdin  pa-rIZ-'dIn
üsküne  ys-ky-'ne
yötkep  j@'t-'kep
xanişniñ  xa-nIS-'nIN
tecribe  tedZ-rI-'be
tetqiqatini  tet-qI-qa-tI-'nI
davamlaşturivéridu  da-vam-LaS-tu-rI-v@-rI-'du
murabbasi  mu-rab-ba-'sI
lububi  Lu-bu-'bI
kebir  ke-'bIr
srar  srar
muvapiqlirini  mu-va-pIq-LI-rI-'nI
işletse  IS-Let-'se
qétimqi  q@-tIm-'qI
sayraniréñ  saj-ra-nI-'r@N
yiféy  jI-'f@j
ingilis  In-gI-'LIs
konsévodiki  kon-s@-vo-dI-'kI
daçisida  da-tSI-sI-'da
méxlis  m@x-'LIs
kéçigiçe  k@-tSI-gI-'tSe
muzakire  mu-za-kI-'re
baratti  ba-rat-'tI
şya  Sja
yişyoñniñ  jIS-joN-'nIN
körsetkinidek  k@'r-set-kI-nI-'dek
miladiye  mI-La-dI-'je
éftalitlar  @f-ta-LIt-'Lar
soğdini  soG-dI-'nI
çekke  tSek-'ke
şuniñdin  Su-nIN-'dIn
étibaren  @-tI-ba-'ren
soğdiyana  soG-dI-ja-'na
tüzleñlik  tyz-LeN-'LIk
sulalilirige  su-La-LI-LI-rI-'ge
tapşuruşni  tap-Su-ruS-'nI
toxtatqan  tox-tat-'qan
kékroplar  k@k-rop-'Lar
memlikiti  mem-LI-kI-'tI
yetkende  jet-ken-'de
esirlirini  e-sIr-LI-rI-'nI
boşitip  bo-SI-'tIp
ixtiyarliriğa  Ix-tI-jar-LI-rI-'Ga
qoyuvétiptu  qo-ju-v@-tIp-'tu
omcla  omdZ-'La
huzuriğa  hu-zu-rI-'Ga
mañimu  ma-NI-'mu
azadliq  a-zad-'LIq
bergin  ber-'gIn
başlaptu  baS-Lap-'tu
türmilerde  tyr-mI-Ler-'de
vehşiylerçe  veh-SIj-Ler-'tSe
qiynaşlar  qIj-naS-'Lar
soyidiğan  so-jI-dI-'Gan
quşxanilarda  quS-xa-nI-Lar-'da
pacieliridinmu  pa-dZI-e-LI-rI-dIn-'mu
hesse  hes-'se
dehşetlikrek  deh-Set-LIk-'rek
qiynap  qIj-'nap
öltürüşlerni  @'L-ty-ryS-Ler-'nI
qilduratti  qIL-du-rat-'tI
toşqannimu  toS-qan-nI-'mu
quliqidin  qu-LI-qI-'dIn
tutuvalisiler  tu-tu-va-LI-sI-'Ler
bermidi  ber-mI-'dI
zivyaga  zIv-ja-'ga
lyuşyañ  LjuS-'jaN
erlerniñ  er-Ler-'nIN
métirğa  m@-tIr-'Ga
tosuq  to-'suq
atlap  at-'Lap
yügürüş  jy-gy-'ryS
türide  ty-rI-'de
çémpiyon  tS@m-pI-'jon
sepdişi  sep-dI-'SI
ikkinçilikke  Ik-kIn-tSI-LIk-'ke
süy  syj
véndi  v@n-'dI
cavaben  dZa-va-'ben
qağani  qa-Ga-'nI
él  @L
kulug  ku-'Lug
iapétqa  I-a-p@t-'qa
krémniy  kr@m-'nIj
özek  @'-'zek
yiñne  jIN-'ne
yapraqçisiğa  jap-raq-tSI-sI-'Ga
impolis  Im-po-'LIs
signali  sIg-na-'LI
yollidi  joL-LI-'dI
aşxanidiki  aS-xa-nI-dI-'kI
qomuç  qo-'mutS
qasqan  qas-'qan
cümbül  dZym-'byL
çeydu  tSej-'du
cayida  dZa-jI-'da
qevmge  qevm-'ge
ğezeplensem  Ge-zep-Len-'sem
türklerni  tyrkLernI
evetimen  e-ve-tI-me-'n
çüşençige  tSy-Sen-tSI-'ge
xelqlerge  xeLqLerge
izahlaş  I-zah-'LaS
menbesiniñ  men-be-sI-'nIN
exlaqiniñ  ex-La-qI-'nIN
yükseklikide  jyk-sek-LI-kI-'de
körvlğili  k@'rv-LGI-'LI
vrangél  vran-'g@L
basmiçilirini  bas-mI-tSI-LI-rI-'nI
tézdin  t@z-'dIn
tazilaş  ta-zI-'LaS
komitéti  ko-mI-t@-'tI
frontiniñ  fron-tI-'nIN
fronit  fro-'nIt
ayridi  aj-rI-'dI
qararni  qa-rar-'nI
orunlaşturuşqa  o-run-LaS-tu-ruS-'qa
stalinni  sta-LIn-'nI
şulardin  Su-Lar-'dIn
béqişniñ  b@-qIS-'nIN
yollirini  joL-LI-rI-'nI
öginivalğan  @'-gI-nI-vaL-'Gan
yazliq  jaz-'LIq
tavuzliri  ta-vuz-LI-'rI
pişti  pIS-'tI
pişidiğan  pI-SI-dI-'Gan
mijgan  mIZ-'gan
qoğunlirimu  qo-Gun-LI-rI-'mu
lahordiki  La-hor-dI-'kI
ğulam  Gu-'Lam
mirzini  mIr-zI-'nI
mucedid  mu-dZe-'dId
yéñiliqçisi  j@-NI-LIq-tSI-'sI
guenyömyav  gu-en-j@'m-'jav
ibadetxaniliriğa  I-ba-det-xa-nI-LI-rI-'Ga
yéşi  j@-'SI
ğerbidiki  Ger-bI-dI-'kI
réxburg  r@x-'burg
lokkumğa  Lok-kum-'Ga
baynd  bajnd
voltir  voL-'tIr
layihileş  La-jI-hI-'LeS
modélini  mo-d@-LI-'nI
yasaydiğan  ja-saj-dI-'Gan
kaliforniye  ka-LI-for-nI-'je
anod  a-'nod
şivadséngir  SI-vad-s@n-'gIr
milad  mI-'Lad
bayrimiliq  baj-rI-mI-'LIq
dem  dem
ailisidikiler  a-I-LI-sI-dI-kI-'Ler
téyilğili  t@-jIL-GI-'LI
barğanidi  bar-Ga-nI-'dI
parlaméntni  par-Lam-@nt-'nI
çarliz  tSar-'LIz
sülhi  syL-'hI
engiliyide  en-gI-LI-jI-'de
padişahliq  pa-dI-Sah-'LIq
qanunluq  qa-nun-'Luq
tüzülmisi  ty-zyL-mI-'sI
ornitişni  or-nI-tIS-'nI
qazaqistanliq  qa-za-qIs-tan-'LIq
asqar  as-'qar
égévbayév  @-g@v-ba-'j@v
qazaqçiğa  qa-zaq-tSI-'Ga
lopniñ  Lop-'nIN
şerqi  Ser-'qI
gensu  gen-'su
cuçven  dZutS-'ven
sacudoxan  sa-dZu-do-'xan
şeherlirige  Se-her-LI-rI-'ge
ulinidu  u-LI-nI-'du
polkovnik  poL-kov-'nIk
mevlanof  mev-La-'nof
azliq  az-'LIq
ştabqa  Stab-'qa
komissar  ko-mIs-'sar
ömürzaqufni  @'-myr-za-quf-'nI
evetiptu  e-ve-tIp-'tu
ussulğa  us-suL-'Ga
çüşüvalğan  tSy-Sy-vaL-'Gan
recep  re-'dZep
lepeñşivatqan  Le-peN-SI-vat-'qan
térektek  t@-rek-'tek
irğañliğili  Ir-GaN-LI-GI-'LI
macuñyiñdin  ma-dZuN-jIN-'dIn
alaqeñlarni  a-La-qeN-Lar-'nI
üzseñlar  yz-seN-'Lar
abduniyaz  ab-du-nI-'jaz
mirab  mI-'rab
teyyarlaş  tej-jar-'LaS
söidi  s@'-I-'dI
merzencüş  mer-zen-'dZyS
kundur  kun-'dur
aqaqiya  a-qa-qI-'ja
yilimi  jI-LI-'mI
hessidin  hes-sI-'dIn
hüsiyin  hy-sI-'jIn
yehya  jeh-'ja
muqamçi  mu-qam-'tSI
döletlerge  d@'-Let-Ler-'ge
oyun  o-'jun
miraslirimizni  mI-ras-LI-rI-mIz-'nI
sehniside  seh-nI-sI-'de
bosvort  bos-'vort
norfük  nor-'fyk
kinezniñ  kI-nez-'nIN
qoşunini  qo-Su-nI-'nI
hemkarlaşqan  hem-kar-LaS-'qan
neyzilik  nej-zI-'LIk
sépini  s@-pI-'nI
tébabetçilik  t@-ba-bet-tSI-'LIk
şuğullinip  Su-GuL-LI-'nIp
yeken  je-'ken
abroy  ab-'roj
qazanğan  qa-zan-'Gan
molud  mo-'Lud
quyuluş  qu-ju-'LuS
caduger  dZa-du-'ger
öñkürniñ  @'N-kyr-'nIN
üstidiki  ys-tI-dI-'kI
bileyzükini  bI-Lej-zy-kI-'nI
étiptu  @-tIp-'tu
quyruq  quj-'ruq
ilahiy  I-La-'hIj
büzrükvarini  byz-ryk-va-rI-'nI
körgendek  k@'r-gen-'dek
bovayniñ  bo-vaj-'nIN
suvap  su-'vap
şotlandiyidiki  Sot-Lan-dI-jI-dI-'kI
aqsöñek  aq-s@'-'Nek
ailisidin  a-I-LI-sI-'dIn
robirt  rob-'Irt
bulus  bu-'Lus
kinodiki  kI-no-dI-'kI
sésip  s@-'sIp
kitidiğan  kI-tI-dI-'Gan
qériniñ  q@-rI-'nIN
hiyliger  hIj-LI-'ger
şada  Sa-'da
paçaq  pa-'tSaq
idvard  Id-'vard
xanliqni  xan-LIq-'nI
yohan  jo-'han
baliovrğa  baLIovrGa
iştin  IS-'tIn
firansiye  fI-ran-sI-'je
padişahini  pa-dI-Sa-hI-'nI
firansiyige  fI-ran-sI-jI-'ge
engiliyege  en-gI-LI-je-'ge
mecburliğan  medZ-bur-LI-'Gan
añlimay  aN-LI-'maj
kilişim  kI-LI-'SIm
imzalivalğan  Im-za-LI-vaL-'Gan
cohan  dZo-'han
xopkins  xop-'kIns
univirsitéti  u-nI-vIr-sI-t@-'tI
kavkaziye  kav-ka-zI-'je
inistitutiniñ  I-nIs-tI-tu-tI-'nIN
atalğan  a-taL-'Gan
hecimlik  he-dZIm-'LIk
pilaniğa  pI-La-nI-'Ga
neşir  ne-'SIr
proféssor  pro-f@s-'sor
star  star
döletliriniñ  d@'-Let-LI-rI-'nIN
yaxşilaş  jax-SI-'LaS
mesiliside  me-sI-LI-sI-'de
hemkarlişalmasliqidiki  hem-kar-LI-SaL-mas-LI-qI-dI-'kI
çeklimiler  tSek-LI-mI-'Ler
tosaqlarniñ  to-saq-Lar-'nIN
biyokratiye  bI-jok-ra-tI-'je
qeğevazliq  qe-Ge-vaz-'LIq
dur  dur
idac  I-'dadZ
qoltuqi  qoL-tu-'qI
uruişidin  u-ru-I-SI-'dIn
kenittiki  ke-nIt-tI-'kI
sadam  sa-'dam
qoyuşti  qo-juS-'tI
engilye  en-gIL-'je
musteqillq  musteqILLq
iyuldiki  I-juL-dI-'kI
éraq  @-'raq
uruşqa  u-ruS-'qa
puqralarni  puq-ra-Lar-'nI
xorlap  xor-'Lap
öltürgenlikidek  @'L-tyr-gen-LI-kI-'dek
zoravanliqini  zo-ra-van-LI-qI-'nI
aşkarilğan  aS-ka-rIL-'Gan
bronévik  bro-n@-'vIk
batalyoniniñ  ba-taL-jo-nI-'nIN
mergini  mer-gI-'nI
ripxag  rIp-'xag
zoravanliqi  zo-ra-van-LI-'qI
uruşniñ  u-ruS-'nIN
zoravanliq  zo-ra-van-'LIq
herbiiy  her-bI-'Ij
mecburiyettin  medZ-bu-rI-jet-'tIn
çékingen  tS@-kIn-'gen
eskerniñ  es-ker-'nIN
bayaniğa  ba-ja-nI-'Ga
éraqta  @-raq-'ta
eskerliri  es-ker-LI-'rI
iskencige  Is-ken-dZI-'ge
qilmişlarni  qIL-mIS-Lar-'nI
untup  un-'tup
qalğili  qaL-GI-'LI
qaptimen  qap-tI-'men
déskiniñ  d@s-kI-'nIN
baffér  baf-'f@r
deydiğan  dej-dI-'Gan
déska  d@s-'ka
texsiisige  tex-sI-I-sI-'ge
yézilidiğan  j@-zI-LI-dI-'Gan
uçurlar  u-tSur-'Lar
sür'ette  syr-'et-'te
toşulup  to-Su-'Lup
kompiyutér  kom-pI-ju-'t@r
saqliğuçiğa  saq-LI-Gu-tSI-'Ga
yollinidu  joL-LI-nI-'du
içiki  I-tSI-'kI
saqliğuçitin  saq-LI-Gu-tSI-'tIn
texsisige  tex-sI-sI-'ge
yézilidu  j@-zI-LI-'du
ixtyarsiz  IxtjarsIz
köknur  k@'k-'nur
munbiridiki  mun-bI-rI-dI-'kI
inkaslarni  In-kas-Lar-'nI
şularğa  Su-Lar-'Ga
silişturğum  sI-LIS-tur-'Gum
eserlerniñ  e-ser-Ler-'nIN
seviyisi  se-vI-jI-'sI
munberlerge  mun-ber-Ler-'ge
eserlerdin  e-ser-Ler-'dIn
qélişmaydu  q@-LIS-maj-'du
vucudumni  vu-dZu-dum-'nI
çülğivélip  tSyL-GI-v@-'LIp
tor  tor
dunyasini  dun-ja-sI-'nI
betbeşire  bet-be-SI-'re
körsitivetti  k@'r-sI-tI-vet-'tI
ténim  t@-'nIm
şürkendi  Syr-ken-'dI
özümni  @'-zym-'nI
tégi  t@-'gI
hañğa  haN-'Ga
yémirilivatqan  j@-mI-rI-LI-vat-'qan
exlaqimizğa  ex-La-qI-mIz-'Ga
ümidim  y-mI-'dIm
qalmiğanidi  qaL-mI-Ga-nI-'dI
tekküzgili  tek-kyz-gI-'LI
unimu  u-nI-'mu
vucudtqa  vudZ-udt-'qa
özgertken  @'zgertken
hokmanniñ  hok-man-'nIN
kallisiğa  kaL-LI-sI-'Ga
yalt  jaLt
keçti  ketS-'tI
bijğirim  bIZ-GI-'rIm
issiqta  Is-sIq-'ta
tağdiki  taG-dI-'kI
qizğuç  qIz-'GutS
şéğillar  S@-GIL-'Lar
cilvilinip  dZIL-vI-LI-'nIp
savuldap  sa-vuL-'dap
küyivatqandek  ky-jI-vat-qan-'dek
körünidu  k@'-ry-nI-'du
racih  ra-'dZIh
abduréşit  ab-du-r@-'SIt
qanunçiliq  qa-nun-tSI-'LIq
gézitidiki  g@-zI-tI-dI-'kI
raxman  rax-'man
dostlardin  dostLardIn
aygül  aj-'gyL
şéxbéği  S@x-b@-'GI
zavutiniñ  za-vu-tI-'nIN
barmaqçi  bar-maq-'tSI
motsiklitiğa  mot-sIk-LI-tI-'Ga
ellim  eL-'LIm
maksvél  maksv@L
zulqerneyn  zuL-qer-'nejn
smit  smIt
bolivar  bo-LI-'var
krumvél  krum-'v@L
avgust  av-'gust
plank  pLank
réntgén  r@ntg@n
arandéz  a-ran-'d@z
pévsop  p@v-'sop
grum  grum
şexislerniñ  Se-xIs-Ler-'nIN
tarixini  ta-rI-xI-'nI
oh  oh
épspéditor  @ps-p@-dI-'tor
hédin  h@-'dIn
giktar  gIk-'tar
qumluqta  qum-Luq-'ta
ğeplette  Gep-Let-'te
xarabiliqini  xa-ra-bI-LI-qI-'nI
tépiptu  t@-pIp-'tu
zibbu  zIb-'bu
taqaş  ta-'qaS
evc  evdZ
emeldar  e-meL-'dar
evetsek  e-vet-'sek
qamap  qa-'map
qoyğudek  qoj-Gu-'dek
sor  sor
tardoş  tar-'doS
qebilisidin  qe-bI-LI-sI-'dIn
evetken  e-vet-'ken
idim  I-'dIm
oğuz  o-'Guz
türkliriniñ  tyrk-LI-rI-'nIN
rom  rom
abaza  a-ba-'za
gürcüller  gyr-dZyL-'Ler
oruşliri  o-ruS-LI-'rI
nezm  nezm
tonuşiçe  to-nu-SI-'tSe
aqquza  aq-qu-'za
naocoz  na-o-'dZoz
toqti  toq-'tI
yultuzini  juL-tu-zI-'nI
bexş  bexS
ataqilğuçi  a-ta-qIL-Gu-'tSI
ila  I-'La
hiniñ  hI-'nIN
kéyinçe  k@-jIn-'tSe
faşyen  faS-'jen
şuencuañ  Su-en-dZu-'aN
eqidiliri  e-qI-dI-LI-'rI
numlirini  num-LI-rI-'nI
izdep  Iz-'dep
rayunğa  ra-jun-'Ga
elh'éram  eLh-'@-'ram
pramida  pra-mI-'da
insaniyet  In-sa-nI-'jet
tarixidiki  ta-rI-xI-dI-'kI
